fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
39,car,0.48521944880485535,2,1302,313,1348,362,,,,,,,
40,bus,0.9028940200805664,1,1351,167,1661,422,,,,,,,
40,car,0.47551780939102173,2,1302,314,1347,361,,,,,,,
41,bus,0.9093590378761292,1,1349,169,1655,421,,,,,,,
41,car,0.4481630325317383,2,1302,314,1347,362,,,,,,,
42,bus,0.9246642589569092,1,1349,172,1649,417,,,,,,,
42,car,0.5108041763305664,2,1303,315,1345,360,,,,,,,
43,bus,0.9318883419036865,1,1346,175,1644,416,,,,,,,
43,car,0.4615268111228943,2,1302,316,1344,360,,,,,,,
44,bus,0.9286056160926819,1,1344,176,1637,415,,,,,,,
44,car,0.5337620377540588,2,1302,316,1342,361,,,,,,,
45,bus,0.9289512634277344,1,1343,178,1635,414,,,,,,,
45,car,0.4197118282318115,2,1300,316,1341,361,,,,,,,
46,bus,0.9199948906898499,1,1342,179,1630,412,,,,,,,
47,bus,0.9226673245429993,1,1341,181,1626,412,,,,,,,
48,bus,0.9172413945198059,1,1341,182,1623,413,,,,,,,
49,bus,0.9206548929214478,1,1340,184,1615,413,,,,,,,
50,bus,0.9157044291496277,1,1340,185,1612,412,,,,,,,
51,bus,0.9254074096679688,1,1340,188,1603,411,,,,,,,
52,bus,0.9387627243995667,1,1337,188,1598,411,,,,,,,
53,bus,0.9230120778083801,1,1336,189,1595,411,,,,,,,
54,bus,0.9220376014709473,1,1335,190,1591,411,,,,,,,
55,bus,0.919137716293335,1,1334,191,1591,409,,,,,,,
56,bus,0.9008741974830627,1,1334,191,1584,409,,,,,,,
57,bus,0.9047497510910034,1,1334,192,1579,408,,,,,,,
58,bus,0.9099917411804199,1,1334,192,1575,407,,,,,,,
59,bus,0.9141163229942322,1,1333,193,1570,406,,,,,,,
60,bus,0.9049919843673706,1,1332,195,1567,404,,,,,,,
61,bus,0.8941497206687927,1,1333,195,1563,404,,,,,,,
62,bus,0.9089820384979248,1,1333,196,1561,404,,,,,,,
63,bus,0.9010424613952637,1,1333,198,1555,405,,,,,,,
64,bus,0.8805820941925049,1,1330,198,1551,405,,,,,,,
64,car,0.40723857283592224,2,1289,321,1328,358,,,,,,,
65,bus,0.8668619990348816,1,1328,198,1548,403,,,,,,,
65,car,0.43469706177711487,2,1288,318,1327,358,,,,,,,
66,bus,0.8437817096710205,1,1327,199,1543,401,,,,,,,
66,car,0.4385632574558258,2,1288,319,1326,359,,,,,,,
67,bus,0.8056720495223999,1,1326,200,1539,400,,,,,,,
67,car,0.48017823696136475,2,1287,318,1326,360,,,,,,,
68,bus,0.7634537816047668,1,1325,201,1536,397,,,,,,,
68,car,0.4552018940448761,2,1287,319,1325,359,,,,,,,
69,bus,0.76752108335495,1,1324,202,1533,396,,,,,,,
69,car,0.4666215181350708,2,1287,320,1325,359,,,,,,,
70,bus,0.7433134317398071,1,1323,204,1530,395,,,,,,,
70,car,0.5087180733680725,2,1286,320,1326,360,,,,,,,
71,bus,0.757664144039154,1,1324,205,1527,397,,,,,,,
71,car,0.4411937892436981,2,1286,319,1326,358,,,,,,,
72,bus,0.7598265409469604,1,1322,205,1524,396,,,,,,,
72,car,0.5177866220474243,2,1286,319,1325,358,,,,,,,
73,bus,0.7683765888214111,1,1320,208,1523,394,,,,,,,
73,car,0.6030762791633606,2,1286,318,1323,358,,,,,,,
74,bus,0.7849101424217224,1,1320,209,1520,393,,,,,,,
74,car,0.5911931991577148,2,1286,320,1323,357,,,,,,,
75,bus,0.7735456228256226,1,1320,210,1516,392,,,,,,,
75,car,0.5855416655540466,2,1285,321,1322,356,,,,,,,
76,bus,0.7820624709129333,1,1319,210,1513,392,,,,,,,
76,car,0.5252941250801086,2,1285,321,1321,355,,,,,,,
77,bus,0.7469202280044556,1,1319,211,1510,391,,,,,,,
77,car,0.50819993019104,2,1285,317,1320,355,,,,,,,
78,bus,0.6812338829040527,1,1318,212,1507,391,,,,,,,
78,car,0.5484396815299988,2,1285,316,1319,356,,,,,,,
79,bus,0.6838258504867554,1,1318,212,1505,390,,,,,,,
79,car,0.5070459842681885,2,1285,313,1318,356,,,,,,,
80,bus,0.6093550324440002,1,1317,213,1503,390,,,,,,,
80,car,0.432680606842041,2,1284,311,1318,355,,,,,,,
81,bus,0.7689347267150879,1,1316,214,1500,390,,,,,,,
82,bus,0.790728747844696,1,1316,215,1499,389,,,,,,,
83,bus,0.7761899828910828,1,1316,215,1497,390,,,,,,,
84,bus,0.7750657796859741,1,1314,215,1495,389,,,,,,,
85,bus,0.7371520400047302,1,1314,215,1491,388,,,,,,,
86,bus,0.7066482901573181,1,1314,216,1489,388,,,,,,,
87,bus,0.6601414084434509,1,1316,216,1486,387,,,,,,,
88,bus,0.5098429918289185,1,1316,216,1485,386,,,,,,,
89,bus,0.5740461945533752,1,1315,216,1482,387,,,,,,,
90,bus,0.6163011789321899,1,1314,217,1480,385,,,,,,,
91,truck,0.4728565216064453,1,1313,218,1479,384,,,,,,,
92,bus,0.46816539764404297,1,1313,219,1477,383,,,,,,,
92,car,0.4456477761268616,2,1460,317,1515,379,,,,,,,
93,bus,0.6853325963020325,1,1314,220,1475,382,,,,,,,
93,car,0.5583803653717041,2,1456,319,1515,379,,,,,,,
94,bus,0.5189045071601868,1,1313,221,1471,382,,,,,,,
94,car,0.5226935148239136,2,1454,320,1514,379,,,,,,,
95,person,0.610087513923645,3,0,249,41,478,,,,,,,
95,truck,0.451159805059433,1,1312,222,1468,382,,,,,,,
95,car,0.5858448147773743,2,1453,320,1514,379,,,,,,,
96,person,0.7594130039215088,3,0,237,53,486,,,,,,,
96,bus,0.5207069516181946,1,1312,223,1466,381,,,,,,,
96,car,0.6149742603302002,2,1451,320,1513,380,,,,,,,
97,person,0.7923622131347656,3,0,234,60,488,,,,,,,
97,bus,0.7012577652931213,1,1311,223,1464,381,,,,,,,
97,car,0.7251201272010803,2,1449,319,1513,381,,,,,,,
98,person,0.8343817591667175,3,0,231,68,490,,,,,,,
98,bus,0.7532915472984314,1,1311,224,1463,380,,,,,,,
98,car,0.7103736400604248,2,1449,320,1514,381,,,,,,,
99,person,0.8246657252311707,3,0,232,73,491,,,,,,,
99,bus,0.7263230681419373,1,1310,226,1461,380,,,,,,,
99,car,0.7208021879196167,2,1446,320,1514,381,,,,,,,
100,person,0.8246327638626099,3,0,235,77,492,,,,,,,
100,bus,0.7834314107894897,1,1310,226,1460,380,,,,,,,
100,car,0.7121760845184326,2,1443,320,1514,381,,,,,,,
101,person,0.8338770270347595,3,0,234,78,494,,,,,,,
101,bus,0.8084104061126709,1,1308,226,1459,378,,,,,,,
101,car,0.6714938879013062,2,1438,320,1516,381,,,,,,,
102,person,0.8624065518379211,3,0,233,79,497,,,,,,,
102,bus,0.7003952860832214,1,1308,227,1458,379,,,,,,,
102,car,0.6982436180114746,2,1436,320,1516,381,,,,,,,
103,person,0.8514044284820557,3,0,231,83,495,,,,,,,
103,bus,0.7826488614082336,1,1309,228,1457,378,,,,,,,
103,car,0.6960077881813049,2,1434,320,1517,382,,,,,,,
104,person,0.881441593170166,3,0,230,89,495,,,,,,,
104,bus,0.7633959054946899,1,1309,229,1456,379,,,,,,,
104,car,0.7170884609222412,2,1435,320,1518,382,,,,,,,
105,person,0.8319211602210999,3,2,232,96,492,,,,,,,
105,bus,0.6207767724990845,1,1309,229,1455,379,,,,,,,
105,car,0.7265403866767883,2,1435,320,1518,382,,,,,,,
106,person,0.857429563999176,3,9,230,105,492,,,,,,,
106,bus,0.7718080282211304,1,1308,229,1453,379,,,,,,,
106,car,0.7277793884277344,2,1435,320,1519,382,,,,,,,
107,person,0.8772218227386475,3,19,228,114,492,,,,,,,
107,bus,0.7504279613494873,1,1308,230,1450,379,,,,,,,
107,car,0.7362750768661499,2,1434,320,1519,382,,,,,,,
108,person,0.875311553478241,3,26,228,131,492,,,,,,,
108,bus,0.6579787731170654,1,1308,232,1446,378,,,,,,,
108,car,0.7311455607414246,2,1433,320,1519,382,,,,,,,
109,person,0.8498764038085938,3,30,229,147,491,,,,,,,
109,bus,0.6536577939987183,1,1307,232,1445,378,,,,,,,
109,car,0.7310876846313477,2,1433,320,1519,381,,,,,,,
109,car,0.4273435175418854,6,1262,313,1299,348,,,,,,,
110,person,0.8640868663787842,3,34,230,157,490,,,,,,,
110,bus,0.7609426975250244,1,1304,232,1445,378,,,,,,,
110,car,0.7440908551216125,2,1431,320,1518,381,,,,,,,
110,car,0.4601263701915741,6,1262,312,1298,348,,,,,,,
111,person,0.86912602186203,3,38,232,164,488,,,,,,,
111,bus,0.7546951174736023,1,1303,233,1443,377,,,,,,,
111,car,0.7567517161369324,2,1431,321,1518,381,,,,,,,
111,car,0.5329172611236572,6,1263,312,1298,347,,,,,,,
112,person,0.8632662892341614,3,40,234,165,487,,,,,,,
112,bus,0.6953122019767761,1,1301,233,1440,377,,,,,,,
112,car,0.7583621144294739,2,1430,321,1518,381,,,,,,,
112,car,0.5092557668685913,6,1263,312,1298,348,,,,,,,
113,person,0.8516788482666016,3,40,239,169,487,,,,,,,
113,bus,0.5986770391464233,1,1298,233,1437,377,,,,,,,
113,car,0.7681988477706909,2,1428,321,1517,381,,,,,,,
113,car,0.5064090490341187,6,1263,312,1297,348,,,,,,,
114,person,0.8457331657409668,3,45,241,170,488,,,,,,,
114,bus,0.5071735382080078,1,1297,234,1435,377,,,,,,,
114,car,0.7780100703239441,2,1428,321,1517,382,,,,,,,
114,car,0.5138599872589111,6,1262,312,1296,348,,,,,,,
115,person,0.8342962265014648,3,51,240,170,490,,,,,,,
115,truck,0.5622802376747131,1,1296,235,1433,377,,,,,,,
115,car,0.7961883544921875,2,1425,320,1517,382,,,,,,,
115,car,0.4658893644809723,6,1262,312,1294,347,,,,,,,
116,person,0.8403894901275635,3,60,240,171,488,,,,,,,
116,truck,0.5030881762504578,1,1295,236,1431,377,,,,,,,
116,car,0.7884119153022766,2,1424,321,1517,382,,,,,,,
116,car,0.43513116240501404,6,1262,311,1294,347,,,,,,,
117,person,0.8089147806167603,3,74,239,172,485,,,,,,,
117,truck,0.5057947635650635,1,1295,236,1430,376,,,,,,,
117,car,0.7874798774719238,2,1421,321,1517,382,,,,,,,
118,person,0.7905352115631104,3,87,238,173,482,,,,,,,
118,bus,0.5590145587921143,1,1293,236,1429,375,,,,,,,
118,car,0.797293484210968,2,1420,320,1517,382,,,,,,,
119,person,0.7522339820861816,3,95,238,174,481,,,,,,,
119,bus,0.608150064945221,1,1291,236,1429,374,,,,,,,
119,car,0.7998878359794617,2,1420,320,1516,382,,,,,,,
119,car,0.41158750653266907,6,1259,312,1291,346,,,,,,,
120,person,0.7274243831634521,3,101,240,180,479,,,,,,,
120,bus,0.6470867991447449,1,1291,237,1428,374,,,,,,,
120,car,0.7972288131713867,2,1418,321,1516,382,,,,,,,
120,car,0.43134087324142456,6,1259,313,1291,347,,,,,,,
121,person,0.7708355188369751,3,107,239,184,479,,,,,,,
121,bus,0.6806997656822205,1,1290,237,1427,374,,,,,,,
121,car,0.7643482089042664,2,1419,321,1517,382,,,,,,,
122,person,0.7686066627502441,3,111,241,191,480,,,,,,,
122,bus,0.6811726093292236,1,1290,238,1427,373,,,,,,,
122,car,0.745332658290863,2,1417,321,1517,382,,,,,,,
123,person,0.8113101124763489,3,113,242,200,479,,,,,,,
123,bus,0.661508321762085,1,1289,238,1427,373,,,,,,,
123,car,0.7385425567626953,2,1418,321,1517,382,,,,,,,
124,person,0.8044558167457581,3,115,245,207,478,,,,,,,
124,bus,0.6599053144454956,1,1289,239,1425,373,,,,,,,
124,car,0.7409293055534363,2,1420,321,1517,382,,,,,,,
124,car,0.40357738733291626,6,1245,315,1289,346,,,,,,,
125,person,0.7918277382850647,3,116,248,213,477,,,,,,,
