imagen,conf_matricula,texto_easyocr,tiempo_easyocr,texto_tesseract,tiempo_tesseract
0116GPD_aug1.jpg,0.903839647769928,00116GPD,0.13709378242492676,H0116GPD,1.8090863227844238
0116HGV.jpg,0.9338008761405945,40116HGV,0.24315714836120605,TT,0.30884361267089844
0290KWT_8386_aug3.jpg,0.8823817372322083,0290KVT,0.3095731735229492,490290KWL,0.3088536262512207
0415JVS.jpeg,0.9230164289474487,EJVSO415,1.145343542098999,,0.3942759037017822
0476MNN_8798_aug2.jpg,0.8683316111564636,0476HNN,0.22396230697631836,B0476WAN,0.30739474296569824
0524MHT.jpg,0.8750572204589844,E0524MHT,0.8245704174041748,80524MHT,0.4264686107635498
0524MHT.jpg,0.8739999532699585,2149FXR,0.20335054397583008,B2149FXR,0.35845208168029785
0842GLN_7663_aug1.jpg,0.9054837822914124,0842GLN,0.4783000946044922,B08L2G,0.3450655937194824
0842GLN_7663_aug5.jpg,0.9368648529052734,50842GLN,0.7186133861541748,2,0.4581034183502197
0842GLN_aug1.jpg,0.9064725041389465,0842GLN,0.4755213260650635,B0822GEN,0.4013218879699707
0842GLN_aug2.jpg,0.9136896729469299,0842GLN,0.4870922565460205,B0862G,0.3751983642578125
0880DRN.jpg,0.7715064883232117,0880DRN,0.29436564445495605,0880DRN,0.293673038482666
0918LVY_3100_aug4.jpg,0.882207453250885,1OGJELHY,0.3546323776245117,,0.29842329025268555
1062FRF_165_aug5.jpg,0.9015592932701111,IONTM,0.16201043128967285,,0.3125622272491455
1670JLN_aug3.jpg,0.8765865564346313,1670JLN,0.19443631172180176,1670JLN,0.3243265151977539
1718KBC_3769_aug2.jpg,0.8668933510780334,1718KBC,0.16288352012634277,MA7IBKEC,0.30883336067199707
2288HGS.jpg,0.92929607629776,2288HGS,0.22236204147338867,B2288HGS,0.30347299575805664
2288HGS_4118_aug3.jpg,0.9126444458961487,2288HGS,0.19752931594848633,2288HS,0.3508267402648926
2288HGS_aug2.jpg,0.9305117130279541,2288HGS,0.42481327056884766,I,0.31470751762390137
2288HGS_aug2.jpg,0.9431709051132202,2288HGS,0.31793689727783203,5,0.34903979301452637
2370MWM.jpg,0.8547782301902771,2370MWM,0.2804281711578369,A2370WHN,0.35851097106933594
2377JZG_aug2.jpg,0.923801600933075,2377JZG,0.5433695316314697,G7,0.34383416175842285
2547GMY.jpeg,0.7342498898506165,2547GMY,0.5497379302978516,B2547GMY,0.3280675411224365
2753LBJ.jpg,0.8627355098724365,E2753LBJAMCARSAUTOMOCIO,0.9532263278961182,B2753LBU,0.3067765235900879
3448LXB_aug3.jpg,0.8947893381118774,3448LXB,0.2606015205383301,N3648LXG,0.301624059677124
3448LXB_aug5.jpg,0.9179061055183411,3448ZXB,0.29108190536499023,E,0.4164564609527588
3452GHC.jpg,0.8554240465164185,3452GHC,0.2743546962738037,B3452GHC,0.35559916496276855
3478HWT.jpeg,0.848623514175415,I3G78HRT,0.2850782871246338,A347BHRF,0.3280661106109619
4003GKC.jpg,0.8954567313194275,4003GKC,0.682868242263794,4003GKC,0.3672823905944824
4055jtl_aug2.jpg,0.9085513353347778,4055JIL,0.31560444831848145,84055JTL,0.3240630626678467
4218GLJ.jpg,0.849299967288971,4218GLJ,0.13679122924804688,4218GLJ,0.3100571632385254
4218GLJ.jpg,0.7984570264816284,ED,0.20554780960083008,PTTOPT,0.3373382091522217
4334NFH_aug5.jpg,0.8636971116065979,14334NFH,0.3830254077911377,84334NFH,0.3537628650665283
4425LZL.jpg,0.8057945370674133,9650,0.10761094093322754,BSAS917I,0.31108665466308594
4425LZL.jpg,0.8556817770004272,OIOLVI,0.22783994674682617,RR,0.3159983158111572
4425LZL.jpg,0.8819886445999146,14425LZL,0.20607757568359375,TT,0.29346394538879395
4425LZL_1881_aug1.jpg,0.6867702603340149,96500,0.12111735343933105,EB,0.3014976978302002
4425LZL_1881_aug1.jpg,0.8693131804466248,14425LZL,0.23677682876586914,,0.31314706802368164
4425LZL_1881_aug1.jpg,0.8979671597480774,OBOVI,0.21791768074035645,B51K,0.4147920608520508
4425LZL_1881_aug3.jpg,0.9004510045051575,4425LZL,0.24166417121887207,44025,0.3440220355987549
4425LZL_1881_aug4.jpg,0.8883946537971497,74425LZL,0.25903820991516113,Z,0.29393839836120605
4425LZL_aug1.jpg,0.9032202959060669,14425LZL,0.21685433387756348,,0.2919280529022217
4444LCN.jpeg,0.8962516188621521,444LLCN,0.7005760669708252,O70LUN,0.31619954109191895
4517MFC.jpg,0.8568201065063477,4517MFC,0.2170107364654541,B4517MFC,0.3336219787597656
4517MFC_2121_aug3.jpg,0.840589702129364,451ZMFC,0.31822824478149414,B4517MFC,0.31096720695495605
4709HFT_8622_aug2.jpg,0.9244893193244934,4709HFT,0.8128104209899902,4709,0.3772599697113037
4709HFT_aug1.jpg,0.9265304207801819,4709HFT,0.8196909427642822,B1709H,0.38787841796875
4971JHP_2983_aug3.jpg,0.8771718740463257,4971JHP,0.2894268035888672,64971JHP,0.34913182258605957
4971JHP_2983_aug3.jpg,0.8701202273368835,4971JHP,0.25882983207702637,64971JHP,0.31215596199035645
4977HNF.jpeg,0.8555501699447632,72977HNF,0.203596830368042,577ANF,0.2936372756958008
4981KBP_5290_aug4.jpg,0.9053528308868408,4981KPB,0.9782190322875977,44981KPB,0.33202385902404785
4981KBP_5290_aug4.jpg,0.9034271240234375,4981KPB,0.9342708587646484,44981KPB,0.32686281204223633
4981KBP_aug3.jpg,0.9084801077842712,E4981KPB,1.6289052963256836,84981KPB,0.40280842781066895
5028HDM.jpg,0.8945379257202148,5082HDM,0.4105215072631836,45082HDM,0.3818051815032959
5063KCW_4152LLK.jpg,0.9021255970001221,5063KCW,0.26317667961120605,,0.3556830883026123
5601HTN.jpg,0.8612016439437866,5601HTN,0.32021450996398926,BOOULHIN,0.33163022994995117
5601HTN_1240_aug1.jpg,0.8857711553573608,5601HTN,0.40421223640441895,R,0.3197758197784424
5601HTN_1240_aug2.jpg,0.8877129554748535,5601HITN,0.44646644592285156,OT,0.3410961627960205
5601HTN_aug2.jpg,0.8982354402542114,5601FTN,0.5524601936340332,TT,0.3303568363189697
6080MKH.jpeg,0.8016789555549622,60D0,0.12003278732299805,E,0.30905938148498535
6099KGF.jpg,0.8851942420005798,EJ6099KGF,0.4778904914855957,6099KGF,0.33424949645996094
6107FRT_0169DZH.jpeg,0.8387957215309143,6107FRT,0.14943146705627441,1RG6107FRT,0.3221290111541748
6107FRT_0169DZH.jpeg,0.8531398177146912,40169DZH,0.1496293544769287,0169UZH,0.31727051734924316
6236FHP.jpg,0.9290987849235535,6236FHP,1.1182310581207275,,0.34230661392211914
6236FHP_aug1.jpg,0.9287317395210266,6236FHP,1.039531946182251,5,0.3547227382659912
6429JVC.jpg,0.8524614572525024,RH,0.1650547981262207,RHI,0.30716753005981445
6704MRW_755_aug1.jpg,0.886063814163208,670LMRD,0.24351835250854492,B6704MRW,0.3215928077697754
6704MRW_aug1.jpg,0.8905124664306641,6704MRW,0.3042302131652832,56704MRW,0.3223559856414795
6856FTK.jpg,0.9011878371238708,E6856FTK,0.584707498550415,B6856FTK,0.31911134719848633
